CODE,YEAR,DISEASE_CODE,DENOMINATOR,INCIDENCE_RATE
MDG,1987,YFEVER,"per 1,000,000 total population",
MDG,1986,DIPHTHERIA,"per 1,000,000 total population",26.8
MDG,1986,MEASLES,"per 1,000,000 total population",2006.7
MDG,1986,NTETANUS,"per 1,000 live births",
MDG,1986,PERTUSSIS,"per 1,000,000 total population",507.5
MDG,1986,POLIO,"per 1,000,000 <15 population",
MDG,1986,TTETANUS,"per 1,000,000 total population",26.8
MDG,1986,YFEVER,"per 1,000,000 total population",
MDG,1985,DIPHTHERIA,"per 1,000,000 total population",188.2
MDG,1985,MEASLES,"per 1,000,000 total population",6698.3
MDG,1985,NTETANUS,"per 1,000 live births",
MDG,1985,PERTUSSIS,"per 1,000,000 total population",1199.5
MDG,1985,POLIO,"per 1,000,000 <15 population",
MDG,1985,TTETANUS,"per 1,000,000 total population",36.8
MDG,1985,YFEVER,"per 1,000,000 total population",
MDG,1984,DIPHTHERIA,"per 1,000,000 total population",177.5
MDG,1984,MEASLES,"per 1,000,000 total population",6600.6
MDG,1984,NTETANUS,"per 1,000 live births",
MDG,1984,PERTUSSIS,"per 1,000,000 total population",982.6
MDG,1984,POLIO,"per 1,000,000 <15 population",
MDG,1984,TTETANUS,"per 1,000,000 total population",58.8
MDG,1984,YFEVER,"per 1,000,000 total population",
MDG,1983,DIPHTHERIA,"per 1,000,000 total population",202.0
MDG,1983,MEASLES,"per 1,000,000 total population",10355.0
MDG,1983,NTETANUS,"per 1,000 live births",
MDG,1983,PERTUSSIS,"per 1,000,000 total population",2122.4
MDG,1983,POLIO,"per 1,000,000 <15 population",
MDG,1983,TTETANUS,"per 1,000,000 total population",86.9
MDG,1983,YFEVER,"per 1,000,000 total population",
MDG,1982,DIPHTHERIA,"per 1,000,000 total population",139.5
MDG,1982,MEASLES,"per 1,000,000 total population",8840.4
MDG,1982,NTETANUS,"per 1,000 live births",
MDG,1982,PERTUSSIS,"per 1,000,000 total population",4537.2
MDG,1982,POLIO,"per 1,000,000 <15 population",
MDG,1982,TTETANUS,"per 1,000,000 total population",81.7
MDG,1982,YFEVER,"per 1,000,000 total population",
MDG,1981,DIPHTHERIA,"per 1,000,000 total population",90.1
MDG,1981,MEASLES,"per 1,000,000 total population",15158.2
MDG,1981,NTETANUS,"per 1,000 live births",
MDG,1981,PERTUSSIS,"per 1,000,000 total population",3404.7
MDG,1981,POLIO,"per 1,000,000 <15 population",
MDG,1981,TTETANUS,"per 1,000,000 total population",79.7
MDG,1981,YFEVER,"per 1,000,000 total population",
MDG,1980,DIPHTHERIA,"per 1,000,000 total population",25.2
MDG,1980,MEASLES,"per 1,000,000 total population",13288.8
MDG,1980,NTETANUS,"per 1,000 live births",
MDG,1980,PERTUSSIS,"per 1,000,000 total population",3603.9
MDG,1980,POLIO,"per 1,000,000 <15 population",
