CODE,YEAR,DISEASE_CODE,CASES
HND,2001,CRS,2.0
HND,2001,DIPHTHERIA,0.0
HND,2001,MEASLES,0.0
HND,2001,MUMPS,719.0
HND,2001,NTETANUS,1.0
HND,2001,PERTUSSIS,37.0
HND,2001,POLIO,0.0
HND,2001,RUBELLA,9.0
HND,2001,TTETANUS,17.0
HND,2001,YFEVER,0.0
HND,2000,CRS,5.0
HND,2000,DIPHTHERIA,0.0
HND,2000,MEASLES,0.0
HND,2000,MUMPS,853.0
HND,2000,NTETANUS,0.0
HND,2000,PERTUSSIS,169.0
HND,2000,POLIO,0.0
HND,2000,RUBELLA,201.0
HND,2000,TTETANUS,9.0
HND,2000,YFEVER,0.0
HND,1999,CRS,3.0
HND,1999,DIPHTHERIA,0.0
HND,1999,MEASLES,0.0
HND,1999,MUMPS,950.0
HND,1999,NTETANUS,2.0
HND,1999,PERTUSSIS,145.0
HND,1999,POLIO,0.0
HND,1999,RUBELLA,1108.0
HND,1999,TTETANUS,16.0
HND,1999,YFEVER,0.0
HND,1998,CRS,1.0
HND,1998,DIPHTHERIA,0.0
HND,1998,MEASLES,0.0
HND,1998,NTETANUS,6.0
HND,1998,PERTUSSIS,59.0
HND,1998,POLIO,0.0
HND,1998,RUBELLA,399.0
HND,1998,TTETANUS,18.0
HND,1998,YFEVER,0.0
HND,1997,CRS,1.0
HND,1997,DIPHTHERIA,0.0
HND,1997,MEASLES,5.0
HND,1997,NTETANUS,1.0
HND,1997,PERTUSSIS,191.0
HND,1997,POLIO,0.0
HND,1997,RUBELLA,170.0
HND,1997,TTETANUS,11.0
HND,1997,YFEVER,0.0
HND,1996,DIPHTHERIA,0.0
HND,1996,MEASLES,4.0
HND,1996,NTETANUS,4.0
HND,1996,PERTUSSIS,200.0
HND,1996,POLIO,0.0
HND,1996,TTETANUS,20.0
HND,1996,YFEVER,
HND,1995,DIPHTHERIA,0.0
HND,1995,MEASLES,0.0
HND,1995,NTETANUS,3.0
HND,1995,PERTUSSIS,0.0
HND,1995,POLIO,0.0
HND,1995,TTETANUS,7.0
HND,1995,YFEVER,
HND,1994,DIPHTHERIA,0.0
HND,1994,MEASLES,3.0
HND,1994,NTETANUS,10.0
HND,1994,PERTUSSIS,3.0
HND,1994,POLIO,0.0
HND,1994,TTETANUS,29.0
HND,1994,YFEVER,
HND,1993,DIPHTHERIA,0.0
HND,1993,MEASLES,13.0
HND,1993,NTETANUS,5.0
HND,1993,PERTUSSIS,15.0
HND,1993,POLIO,0.0
HND,1993,TTETANUS,14.0
HND,1993,YFEVER,
HND,1992,DIPHTHERIA,0.0
HND,1992,MEASLES,58.0
HND,1992,NTETANUS,10.0
HND,1992,PERTUSSIS,425.0
HND,1992,POLIO,0.0
HND,1992,TTETANUS,28.0
HND,1992,YFEVER,
HND,1991,DIPHTHERIA,0.0
HND,1991,MEASLES,95.0
HND,1991,NTETANUS,18.0
HND,1991,PERTUSSIS,89.0
HND,1991,POLIO,0.0
HND,1991,TTETANUS,22.0
HND,1991,YFEVER,
HND,1990,DIPHTHERIA,0.0
HND,1990,MEASLES,8360.0
HND,1990,NTETANUS,39.0
HND,1990,PERTUSSIS,65.0
HND,1990,POLIO,0.0
HND,1990,TTETANUS,62.0
HND,1990,YFEVER,
HND,1989,DIPHTHERIA,0.0
HND,1989,MEASLES,6353.0
HND,1989,NTETANUS,20.0
HND,1989,PERTUSSIS,52.0
HND,1989,POLIO,1.0
HND,1989,TTETANUS,37.0
HND,1989,YFEVER,
HND,1988,DIPHTHERIA,0.0
HND,1988,MEASLES,1155.0
HND,1988,NTETANUS,24.0
HND,1988,PERTUSSIS,143.0
HND,1988,POLIO,7.0
HND,1988,TTETANUS,32.0
HND,1988,YFEVER,
HND,1987,DIPHTHERIA,0.0
HND,1987,MEASLES,1437.0
HND,1987,NTETANUS,21.0
HND,1987,PERTUSSIS,519.0
HND,1987,POLIO,13.0
HND,1987,TTETANUS,50.0
HND,1987,YFEVER,
HND,1986,DIPHTHERIA,0.0
HND,1986,MEASLES,603.0
